DISPLAY_FIRST_LAST,POSITION,height_in_inches,2P%_career,3P%_career,FT%_career,PF100_career,TS%_career,3PAr_career,FTr_career,ORB%_career,DRB%_career,AST%_career,STL%_career,BLK%_career,TOV%_career,USG%_career
Deyonta Davis,Center-Forward,83,0.598,NA,0.605,7.4,0.601,0,0.191,13.5,19,7.5,0.8,10.2,12.1,19.3
Diamond Stone,Center,83,0.568,NA,0.761,5.9,0.61,0,0.456,12.4,14.5,4.2,1.3,7.1,12.9,26.7
Dillon Brooks,Guard-Forward,78,0.518,0.362,0.794,5.9,0.565,0.295,0.309,6.6,11.3,17.9,1.8,1.7,14.1,26.4
Dion Waiters,Guard,75,0.513,0.348,0.753,4.9,0.551,0.362,0.303,2.5,8.5,19.7,4.4,1.3,11.1,25
Domantas Sabonis,Forward-Center,85,0.638,0.357,0.729,6.6,0.662,0.023,0.516,12.4,26.4,9.7,1.2,2.2,16.6,23.9
Donovan Mitchell,Guard,73,0.497,0.329,0.788,5.8,0.532,0.47,0.26,4.7,13.2,15.9,3.3,1.3,10.8,23.3
Donte DiVincenzo,Guard,76,0.573,0.378,0.705,4.1,0.591,0.533,0.294,5.6,13.2,16.2,2.1,0.9,15.7,20.9
Doron Lamb,Guard,76,0.492,0.475,0.811,4.1,0.627,0.437,0.359,1.8,7,10,1.1,0.3,10.4,19.9
Doug McDermott,Forward,78,0.587,0.458,0.831,3.6,0.652,0.288,0.345,8.2,20.6,10.4,0.5,0.3,11.7,32.3
Draymond Green,Forward,78,0.496,0.361,0.687,6.3,0.543,0.217,0.426,9.3,26.6,24.6,3,3.6,16.5,23.7
Dwayne Bacon,Guard-Forward,78,0.51,0.312,0.733,3.6,0.533,0.306,0.314,4.7,14.7,11,1.9,0.3,11.9,29.1
Dwight Powell,Forward-Center,82,0.484,0.289,0.722,6.5,0.533,0.103,0.502,7.4,21.9,14.6,2.1,3.5,17.1,23.8
Dylan Windler,Guard-Forward,79,0.669,0.406,0.761,4.6,0.663,0.487,0.34,6.9,22.7,12.2,1.9,2.6,14.2,19.9
E'Twaun Moore,Guard,75,0.473,0.38,0.729,4,0.536,0.36,0.258,4.3,11.7,20.2,2.5,1.2,12.7,27.5
Edmond Sumner,Guard,76,0.483,0.285,0.73,4.9,0.536,0.272,0.619,2.2,12.5,27.4,2.5,1.7,17.1,23.5
Elfrid Payton,Guard,75,0.512,0.268,0.611,4,0.533,0.109,0.625,5.2,13.5,32,3.5,1.6,20.1,25.6
Erick Green,Guard,76,0.48,0.338,0.804,3.5,0.543,0.305,0.383,1.9,9.1,21.1,2.6,0.8,10,25.3
Erik Murphy,Forward,82,0.572,0.435,0.757,7.4,0.622,0.426,0.197,7.8,17.5,7.9,1.4,3.7,14.1,21
Fab Melo,Center,84,0.576,NA,0.553,8.1,0.577,0,0.371,11,14.4,4.8,1.4,11.7,20.2,15.9
Festus Ezeli,Center,83,0.562,NA,0.584,8.4,0.577,0,0.799,12.8,17.4,1.8,1.2,9.2,19.4,23.7
Frank Jackson,Guard,75,0.539,0.395,0.755,5.4,0.598,0.459,0.363,3.1,8.3,12.6,1.3,0.2,12.9,21.1
Frank Kaminsky,Forward-Center,84,0.58,0.369,0.763,5.2,0.609,0.275,0.384,7.9,20.7,14.9,1.7,5.2,9.2,25.5
Gary Harris,Guard,76,0.503,0.376,0.788,4,0.571,0.495,0.306,3.9,8.6,13.5,3.1,1.1,11,24.6
Gary Trent Jr.,Guard-Forward,77,0.43,0.402,0.876,2.8,0.567,0.564,0.227,2.9,10.3,6.8,1.9,0.4,7.4,19.5
George King,Forward-Guard,78,0.478,0.401,0.731,4.5,0.564,0.451,0.308,7.2,19.1,6.5,1,1.4,14.6,23.1
